STRING,NAMES
2005 CB68,['134193' '2005 CB68']
2001 SM251,['2001 SM251' '77893']
2000 QG199,['2000 QG199' '98002']
Chiron,['1977 UB' '2060 Chiron' 'Chiron']
17P,['17P' 'Holmes']
50P,['50P' 'Arend']
90P,['90P' 'Gehrels 1']
94P,['94P' 'Russell 4']
130P,['130P' 'McNaught-Hughes']
176P,['118401 LINEAR' '1999 RE70']
202P,['202P' 'Scotti']
228P,['228P' 'LINEAR']
246P,['246P' 'NEAT']
331P,['331P' 'Gibbs']
67P/Churyumov-Gerasimenko,['67P' 'Churyumov-Gerasimenko']
P2010 TO20,['2000 GY34' '252010']
2013 A1 (Siding Springs),['162P' 'Siding Spring']
2014 F3,['2014 F3' 'Sheppard-Trujillo']
2014 W2,['2014 W2']
P2016 A3,['2016 A3' 'P/2016 A3']
Neptune,['899' 'Neptune']
Uranus,['799']
Caliban,['Caliban']
Prospero,['1999U3' 'Prospero']
Setebos,['1999U1' 'Setebos']
Sycorax,['Sycorax']
Titan,['606' 'Saturn']
Enceladus,['Enceladus']
373,['1893 AJ' '373' '373 Melusina']
Fantasia,['1224 Fantasia' '1927 SD' 'Fantasia']
Hilda.117113,['117113' '2004 PG11']
Hilda.119942,['119942' '2002 GJ129']
Hilda.120962,['120962' '1998 VM11']
Hilda.13035,['13035' '1989 UA6']
Hilda.134652,['134652' '1999 VT37']
Hilda.141557,['141557' '2002 GY69']
Hilda.146961,['146961' '2002 GH129']
Hilda.174074,['174074' '2002 EO133']
Hilda.174077,['174077' '2002 FP21']
Hilda.174089,['174089' '2002 GX137']
Hilda.177640,['177640' '2004 NX10']
Hilda.1988 RO12,['1988 RO12' '90704']
Hilda.1988 SX2,['11274 Castillo-Rogez' '1988 SX2']
Hilda.1989 VW,['1989 VW' '7284']
Hilda.1992 DJ6,['178295' '1992 DJ6']
Hilda.2000 DC27,['152900' '2000 DC27']
Hilda.2000 DC45,['2000 DC45' '92283']
Hilda.2001 HG21,['176158' '2001 HG21']
Hilda.2003 QE57,['114954' '2003 QE57']
Hilda.2005 TN125,['147836' '2005 TN125']
Hilda.2005 UR38,['161606' '2005 UR38']
Hilda.2008 CW119,['2008 CW119' '249182']
